OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-2 IGSO-1 (C06),2010-036A,2026-05-09T13:29:22.963776,1.00281802,.00587117,54.2946,163.3091,224.6236,148.8612,0,U,36828,999,5771,0,-.68E-6,0
BEIDOU-2 G4 (C04),2010-057A,2026-05-10T18:51:23.069952,1.00273119,.0005524,3.5540,69.1501,212.8637,29.3914,0,U,37210,999,5691,0,-.1E-5,0
BEIDOU-2 IGSO-2 (C07),2010-068A,2026-05-10T20:11:03.158592,1.00295908,.0054445,47.6210,272.2953,211.9481,153.0457,0,U,37256,999,5642,0,-.212E-5,0
BEIDOU-2 IGSO-3 (C08),2011-013A,2026-05-10T15:42:07.556832,1.00277511,.0034053,62.3586,40.5091,186.6886,345.0519,0,U,37384,999,5528,0,-.191E-5,0
BEIDOU-2 IGSO-4 (C09),2011-038A,2026-05-10T13:24:38.319840,1.00292421,.0157891,54.6253,166.0014,233.2390,121.6372,0,U,37763,999,5426,0,.5E-6,0
BEIDOU-2 IGSO-5 (C10),2011-073A,2026-05-10T20:39:51.747840,1.00257393,.011162,47.7496,272.0069,220.7014,138.6995,0,U,37948,999,5276,0,-.161E-5,0
BEIDOU-2 G5 (C05),2012-008A,2026-05-10T21:06:18.426816,1.00271319,.0011251,3.4806,69.9045,272.1454,261.8798,0,U,38091,999,5199,0,.69E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-05-08T10:53:29.222880,1.86230179,.00196686,55.7928,306.2139,277.1817,82.5892,0,U,38250,999,9520,0,-.38E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-05-08T22:09:07.925760,1.86229854,.00108839,55.6931,305.4151,282.3733,77.4996,0,U,38251,999,9521,0,-.36E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-05-10T05:50:59.766720,1.86230951,.0014363,56.5127,64.1487,350.9145,9.0489,0,U,38775,999,9260,0,-.2E-6,0
BEIDOU-2 G6 (C02),2012-059A,2026-05-10T20:12:21.443040,1.00272951,.0010762,4.3269,73.9076,320.1623,221.7308,0,U,38953,999,4953,0,-.164E-5,0
BEIDOU-3S IGSO-1S (C31),2015-019A,2026-05-10T19:17:27.538080,1.00258713,.0037602,49.2679,295.9104,190.3051,125.9979,0,U,40549,999,4069,0,-.164E-5,0
BEIDOU-3S M2S (C58),2015-037A,2026-05-08T14:08:15.043200,1.86232348,.00074551,54.9079,303.4092,268.2126,91.6939,0,U,40748,999,7338,0,-.37E-6,0
BEIDOU-3S M1S (C57),2015-037B,2026-05-10T09:53:13.967808,1.86254910,.0004173,54.9021,303.3340,55.5065,304.5270,0,U,40749,999,7342,0,-.36E-6,0
BEIDOU-3S IGSO-2S (C56),2015-053A,2026-05-10T18:52:51.890016,1.00268309,.0063924,49.2828,259.2274,190.8859,158.2777,0,U,40938,999,3897,0,-.159E-5,0
BEIDOU-2 IGSO-6 (C13),2016-021A,2026-05-10T19:27:45.139104,1.00266275,.0057602,60.1758,38.4133,232.5923,344.2448,0,U,41434,999,3710,0,-.161E-5,0
BEIDOU-2 G7 (C03),2016-037A,2026-05-10T20:41:38.795712,1.00271661,.0007721,1.6275,68.9546,357.5116,223.1966,0,U,41586,999,651,0,-.342E-5,0
BEIDOU-3 M1 (C19),2017-069A,2026-05-09T11:19:55.917408,1.86231471,.0011778,56.6598,64.3599,319.4965,40.4056,0,U,43001,999,5788,0,-.19E-6,0
BEIDOU-3 M2 (C20),2017-069B,2026-05-08T08:06:15.032736,1.86210859,.00221209,56.6766,64.4251,73.1957,287.0348,0,U,43002,999,5785,0,-.2E-6,0
BEIDOU-3 M7 (C27),2018-003A,2026-05-09T16:32:43.823040,1.86228381,.00052564,54.3635,303.6569,84.2637,275.7902,0,U,43107,999,5663,0,-.37E-6,0
BEIDOU-3 M8 (C28),2018-003B,2026-05-09T15:14:03.710688,1.86231293,.00021435,54.3563,303.6407,280.1514,79.8182,0,U,43108,999,5664,0,-.37E-6,0
BEIDOU-3 M4 (C22),2018-018A,2026-05-09T12:58:15.062304,1.86231430,.00077574,56.6190,64.4229,5.3490,354.6487,0,U,43207,999,5602,0,-.19E-6,0
BEIDOU-3 M3 (C21),2018-018B,2026-05-09T01:40:43.808736,1.86231351,.00097298,56.6178,64.4424,331.7782,28.1584,0,U,43208,999,5601,0,-.19E-6,0
BEIDOU-3 M9 (C29),2018-029A,2026-05-10T08:40:33.982752,1.86228392,.0000809,54.2302,301.2716,101.4164,258.5844,0,U,43245,999,5519,0,-.36E-6,0
BEIDOU-3 M10 (C30),2018-029B,2026-05-09T05:19:53.326272,1.86229463,.00047004,54.2281,301.3374,36.2915,323.7314,0,U,43246,999,5515,0,-.37E-6,0
BEIDOU-2 IGSO-7 (C16),2018-057A,2026-05-10T12:26:57.202368,1.00262765,.0104003,55.1875,163.3876,237.7354,126.1724,0,U,43539,999,2875,0,-.11E-6,0
