OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2026-05-14T11:00:03.231936,14.24313954,.00083148,98.6747,143.4411,285.6526,74.3735,0,U,27844,999,18687,.10823509E-3,.206E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-05-14T00:11:52.373184,14.23601767,.00084237,98.6778,142.7365,308.1331,51.9088,0,U,27848,999,18651,.90172089E-4,.162E-5,0
CUBESAT XI-V,2005-043F,2026-05-14T08:38:54.680640,14.72538248,.00130756,98.2947,289.2813,316.5599,43.4577,0,U,28895,999,9677,.14086026E-3,.843E-5,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-05-14T21:36:59.991840,15.09117448,.00101358,97.8260,115.6397,134.5515,225.6543,0,U,32785,999,98017,.22476287E-3,.3501E-4,0
CANX-2,2008-021H,2026-05-14T09:22:54.424416,15.05365543,.00113165,97.8624,113.5237,149.0638,211.1257,0,U,32790,999,97972,.14656496E-3,.2037E-4,0
SEEDS II (CO-66),2008-021J,2026-05-14T10:26:42.034272,15.31549810,.00049594,97.7519,130.7557,81.4464,278.7338,0,U,32791,999,98212,.40677729E-3,.12321E-3,0
SWISSCUBE,2009-051B,2026-05-14T22:00:29.742624,14.62413178,.00060559,98.4057,42.2242,327.5055,32.5773,0,U,35932,999,88429,.12839396E-3,.6E-5,0
BEESAT-1,2009-051C,2026-05-14T23:27:54.556128,14.61662622,.00048966,98.3986,41.9906,345.9552,14.1512,0,U,35933,999,88433,.1109855E-3,.503E-5,0
ITUPSAT1,2009-051E,2026-05-14T15:58:21.550944,14.60387079,.00073339,98.4072,40.9009,353.6738,6.4368,0,U,35935,999,88384,.10837543E-3,.476E-5,0
TISAT 1,2010-035E,2026-05-14T18:50:00.462048,15.30379883,.00033688,98.0698,78.4110,49.8626,310.2907,0,U,36799,999,86259,.42706614E-3,.12471E-3,0
AEROCUBE 4.5A,2012-048K,2026-05-14T11:27:56.049120,15.78148103,.00189503,64.6285,148.4178,216.6153,143.3707,0,U,38767,999,36731,.61635644E-3,.108232E-2,0
STRAND-1,2013-009E,2026-05-14T21:58:46.461792,14.37142585,.00080708,98.3916,315.9707,338.4115,21.6730,0,U,39090,999,69228,.71389798E-4,.169E-5,0
BRITE-AUSTRIA,2013-009F,2026-05-14T11:54:56.897568,14.36528000,.00098402,98.3988,314.7677,347.7724,12.3223,0,U,39091,999,69221,.50334638E-4,.105E-5,0
NEE-01 PEGASO,2013-018B,2026-05-14T08:47:20.244192,14.93487351,.00112763,98.1179,277.4123,275.9610,84.0323,0,U,39151,999,70565,.14149958E-3,.1429E-4,0
POPACS 2,2013-055E,2026-05-14T09:58:33.711744,14.90433683,.04190889,80.9927,182.8302,302.4348,53.6974,0,U,39269,999,65818,.18785771E-3,.10933E-3,0
POPACS 3,2013-055F,2026-05-14T18:46:51.710016,14.55285618,.05548776,81.0009,265.3804,171.5725,189.5296,0,U,39270,999,63369,.27218139E-3,.1141E-3,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-05-14T21:02:35.064672,15.00919176,.00416257,97.8120,97.0329,5.1274,355.0367,0,U,39417,999,67573,.2352566E-3,.2987E-4,0
