OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (GALILEO-PFM),2011-060A,2026-05-12T01:36:11.361024,1.70475700,.0003801,57.0066,342.7409,36.9967,323.0721,0,U,37846,999,9050,0,-.59E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2026-05-12T06:57:01.776096,1.70475944,.0004102,57.0060,342.7355,9.0913,173.3074,0,U,37847,999,9051,0,-.59E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-05-12T16:39:04.758912,1.70473386,.00057123,55.7853,102.5186,298.0143,61.9039,0,U,38857,999,8440,0,.58E-6,0
GSAT0201 (GALILEO 5),2014-050A,2026-05-12T20:15:09.581760,1.85519902,.16691737,48.9144,274.8842,178.0124,182.7580,0,U,40128,999,7766,0,-.49E-6,0
GSAT0202 (GALILEO 6),2014-050B,2026-05-13T15:19:27.067008,1.85520430,.1670427,48.9313,273.9365,178.7733,181.7078,0,U,40129,999,7984,0,-.5E-6,0
GSAT0203 (GALILEO 7),2015-017A,2026-05-13T00:25:44.281632,1.70475991,.00030098,56.7979,342.5545,299.2023,60.8103,0,U,40544,999,6860,0,-.59E-6,0
GSAT0204 (GALILEO 8),2015-017B,2026-05-13T20:38:39.823296,1.70475594,.0001982,56.8041,342.5499,280.9929,79.0272,0,U,40545,999,3166,0,-.6E-6,0
GSAT0205 (GALILEO 9),2015-045A,2026-04-25T15:10:52.485888,1.67410754,.00051595,54.9613,223.1764,266.9978,92.9342,0,U,40889,999,6608,0,-.38E-6,0
GSAT0206 (GALILEO 10),2015-045B,2026-05-10T21:58:54.342336,1.70474023,.0001772,54.9559,222.6337,27.2114,332.8341,0,U,40890,999,6640,0,.6E-7,0
GSAT0209 (GALILEO 12),2015-079A,2026-05-11T02:00:46.809504,1.70473999,.00056489,55.8056,102.2786,331.9247,28.0249,0,U,41174,999,6414,0,.59E-6,0
GSAT0208 (GALILEO 11),2015-079B,2026-05-12T11:27:20.427264,1.70473864,.0005004,55.8051,102.2375,333.6656,26.2856,0,U,41175,999,6458,0,.58E-6,0
GSAT0211 (GALILEO 14),2016-030A,2026-05-10T06:07:17.204736,1.70474161,.00025109,55.1062,222.7382,345.0589,14.9704,0,U,41549,999,6202,0,.6E-7,0
GSAT0210 (GALILEO 13),2016-030B,2026-05-13T10:41:09.974976,1.70474089,.0003179,55.1034,222.6485,230.8453,129.1673,0,U,41550,999,6207,0,.11E-6,0
GSAT0207 (GALILEO 15),2016-069A,2026-05-13T03:17:05.256960,1.70473822,.00058214,55.4775,102.0552,321.4493,38.4825,0,U,41859,999,5880,0,.55E-6,0
GSAT0212 (GALILEO 16),2016-069B,2026-05-11T19:36:43.755840,1.70474050,.00047426,55.4744,102.0869,345.0422,14.9226,0,U,41860,999,5903,0,.58E-6,0
GSAT0213 (GALILEO 17),2016-069C,2026-05-13T08:35:00.196224,1.70474359,.0005701,55.4778,102.0522,305.7481,54.1710,0,U,41861,999,5892,0,.54E-6,0
GSAT0214 (GALILEO 18),2016-069D,2026-05-12T07:56:06.050976,1.70474167,.00047819,55.4756,102.0732,311.3143,48.6217,0,U,41862,999,5903,0,.58E-6,0
GSAT0215 (GALILEO 19),2017-079A,2026-05-13T09:46:27.804864,1.70474658,.00023322,55.0834,222.4638,262.8128,97.2018,0,U,43055,999,5239,0,.11E-6,0
GSAT0216 (GALILEO 20),2017-079B,2026-05-13T02:41:04.372224,1.70474837,.00018537,55.0844,222.4721,283.0597,76.9595,0,U,43056,999,5240,0,.1E-6,0
GSAT0217 (GALILEO 21),2017-079C,2026-05-10T23:40:17.380128,1.70474863,.00023988,55.0824,222.5283,300.6268,59.3860,0,U,43057,999,5235,0,.6E-7,0
GSAT0218 (GALILEO 22),2017-079D,2026-05-12T09:06:32.157504,1.70474709,.00049261,55.0821,222.4876,272.6757,87.3056,0,U,43058,999,5240,0,.8E-7,0
GSAT0221 (GALILEO 25),2018-060A,2026-05-13T10:57:28.030752,1.70475765,.00032889,57.1798,342.7184,317.8790,42.1390,0,U,43564,999,4857,0,-.58E-6,0
GSAT0222 (GALILEO 26),2018-060B,2026-05-11T21:59:38.287968,1.70475510,.0001985,57.1840,342.7637,278.6336,81.3865,0,U,43565,999,4859,0,-.58E-6,0
GSAT0219 (GALILEO 23),2018-060C,2026-05-12T17:22:28.651872,1.70475738,.0002967,57.1830,342.7433,333.6508,26.3774,0,U,43566,999,4858,0,-.58E-6,0
GSAT0220 (GALILEO 24),2018-060D,2026-05-13T12:45:20.739456,1.70475539,.00031056,57.1827,342.7223,325.7445,34.2788,0,U,43567,999,4858,0,-.58E-6,0
GSAT0223 (GALILEO 27),2021-116A,2026-05-13T02:06:14.999904,1.70475762,.00006125,57.1731,342.6239,234.7586,303.7075,0,U,49809,999,2758,0,-.58E-6,0
GSAT0224 (GALILEO 28),2021-116B,2026-05-14T02:04:15.914784,1.70475706,.0000347,57.1734,342.5955,113.4739,70.4838,0,U,49810,999,2762,0,-.59E-6,0
GSAT0225 (GALILEO 29),2024-079A,2026-05-13T12:13:38.581248,1.70474205,.00024161,55.0983,102.0485,282.1756,260.9730,0,U,59598,999,1272,0,.53E-6,0
GSAT0227 (GALILEO 30),2024-079C,2026-05-12T05:18:37.486080,1.70474232,.000153,55.0936,102.0828,23.5037,336.4810,0,U,59600,999,1275,0,.57E-6,0
GSAT0232 (GALILEO 32),2024-167A,2026-05-13T15:09:04.705344,1.70474390,.00053405,55.1949,222.2621,217.4341,143.4556,0,U,61182,999,1029,0,.12E-6,0
GSAT0226 (GALILEO 31),2024-167B,2026-05-13T14:10:25.586688,1.70474355,.00022289,55.1937,222.2705,207.8161,219.4163,0,U,61183,999,1026,0,.12E-6,0
GSAT0233 (GALILEO 33),2025-302A,2026-05-12T10:48:29.411424,1.70474342,.00019015,54.3135,103.1487,244.8588,299.0758,0,U,67160,999,251,0,.57E-6,0
GSAT0234 (GALILEO 34),2025-302C,2026-05-13T09:26:28.354272,1.70474315,.00037899,54.3149,103.1209,297.7699,285.0412,0,U,67162,999,258,0,.54E-6,0
