OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-05-31T13:54:40.349088,2.00557646,.0121265,54.8537,215.8221,302.3926,230.2354,0,U,26407,999,18961,0,.46E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-05-31T03:48:18.216288,2.00561576,.0147924,54.8848,215.6455,53.0332,311.3390,0,U,27663,999,17097,0,.47E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-05-31T10:00:21.475872,2.00555391,.0115405,54.8441,276.3648,172.3818,172.0661,0,U,28190,999,16260,0,-.5E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2026-05-31T08:58:12.138240,2.00555313,.0169814,55.1466,325.5731,315.9851,62.2641,0,U,28474,999,15809,0,-.89E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-05-31T09:49:42.794976,2.00566966,.0127771,54.8923,273.8546,296.0478,71.0310,0,U,28874,999,15150,0,-.47E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-05-31T15:04:51.854016,2.00570919,.0106266,54.7085,151.9963,54.0500,9.2602,0,U,29486,999,14406,0,.58E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-05-30T23:13:27.622848,2.00557337,.0085424,54.9368,214.6889,90.6833,270.3822,0,U,29601,999,14306,0,.48E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-05-31T18:30:19.626336,2.00556160,.0166123,54.0834,80.7422,87.0640,274.8120,0,U,32260,999,13648,0,-.47E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-05-31T20:03:51.078240,2.00559248,.0035421,55.0452,274.8100,164.5734,9.4377,0,U,32384,999,13518,0,-.45E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2026-05-31T04:26:48.702624,2.00572059,.0210878,54.4949,150.6039,247.6223,110.1406,0,U,32711,999,13341,0,.58E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2026-05-31T16:23:38.742720,2.00555322,.0053627,56.2001,28.0999,82.5232,287.9318,0,U,35752,999,12303,0,-.86E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2026-05-30T12:23:02.100192,2.00561647,.0126346,54.2716,209.2740,66.1048,299.7385,0,U,36585,999,11724,0,.55E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2026-05-31T20:43:28.698240,2.00567292,.0179413,53.5828,144.2680,65.5314,296.3245,0,U,38833,999,9911,0,.47E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2026-05-31T05:33:17.732736,2.00563699,.0141675,54.5177,269.6643,50.9553,310.2947,0,U,39166,999,9554,0,-.43E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2026-05-31T05:35:23.815392,2.00558788,.0084202,53.6518,150.0111,230.9796,128.2777,0,U,39533,999,8934,0,.56E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2026-05-31T12:11:58.803072,2.00562428,.0038336,56.5064,332.1666,326.8498,32.9142,0,U,39741,999,8820,0,-.88E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2026-05-31T02:25:47.784864,2.00557396,.0032621,55.3425,89.1455,118.4904,241.8053,0,U,40105,999,8573,0,-.39E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2026-05-30T23:20:30.542208,2.00575319,.0066604,56.9760,31.6179,69.9763,290.7895,0,U,40294,999,8486,0,-.87E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2026-05-31T14:36:18.542880,2.00552479,.0109209,53.1692,204.8633,40.0562,320.8363,0,U,40534,999,8149,0,.56E-6,0
GPS BIIF-10 (PRN 08),2015-033A,2026-05-31T06:27:03.231360,2.00557258,.0115038,53.9959,267.7840,30.1558,330.5027,0,U,40730,999,7965,0,-.4E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2026-05-30T19:50:51.472032,2.00567167,.0111519,56.9480,31.4799,231.2324,127.8139,0,U,41019,999,7748,0,-.88E-6,0
GPS BIIF-12 (PRN 32),2016-007A,2026-05-30T22:00:06.970176,2.00552701,.0096229,55.5140,90.1441,247.3476,111.5999,0,U,41328,999,7549,0,-.39E-6,0
GPS BIII-1  (PRN 04),2018-109A,2026-05-31T07:38:38.654016,2.00561103,.0038181,55.6724,92.8521,198.3788,345.4774,0,U,43873,999,5473,0,-.32E-6,0
